Date : 2024-06-23 13:15:13
Directory : c:\Users\pottassiu\Documents\Weeat\Server
Total : 118 files,  341417 codes, 20872 comments, 2851 blanks, all 365140 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| prisma\migrations\20240602212923_some_many_to_many_relations_here_and_there                                                         |          1 |         47 |         24 |         18 |         89 |
| prisma\migrations\20240602213601_some_many_to_many_relations_here_and_there                                                         |          1 |          1 |          7 |          1 |          9 |
| prisma\migrations\20240620172126_some_updates_in_store                                                                              |          1 |          9 |         16 |          4 |         29 |
| prisma\migrations\20240621175230_update_in_store_model_sotore_number_field                                                          |          1 |          1 |          1 |          1 |          3 |
| prisma\migrations\20240622031455_update_logo_and_banner_are_required                                                                |          1 |          2 |          8 |          1 |         11 |
| prisma\migrations\20240622223617_now_using_teteu_database                                                                           |          1 |          6 |         12 |          2 |         20 |
| prisma\migrations\20240622232159_now_using_teteu_database_v2                                                                        |          1 |          2 |          8 |          1 |         11 |
| src                                                                                                                                 |         21 |      1,070 |          3 |        127 |      1,200 |
| src (Files)                                                                                                                         |          2 |         52 |          0 |          8 |         60 |
| src\@types                                                                                                                          |          1 |          6 |          0 |          1 |          7 |
| src\controllers                                                                                                                     |          5 |        448 |          0 |         33 |        481 |
| src\middlewares                                                                                                                     |          1 |         44 |          0 |          4 |         48 |
| src\routes                                                                                                                          |          5 |         69 |          0 |         19 |         88 |
| src\services                                                                                                                        |          7 |        451 |          3 |         62 |        516 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\pottassiu\Documents\Weeat\Client\README.md                                                                                 | Markdown           |        -22 |          0 |         -9 |        -31 |
| c:\Users\pottassiu\Documents\Weeat\Client\eslint.config.ts                                                                          | TypeScript         |        -10 |          0 |         -2 |        -12 |
| c:\Users\pottassiu\Documents\Weeat\Client\index.html                                                                                | HTML               |        -19 |          0 |         -1 |        -20 |
| c:\Users\pottassiu\Documents\Weeat\Client\package-lock.json                                                                         | JSON               |     -5,627 |          0 |         -1 |     -5,628 |
| c:\Users\pottassiu\Documents\Weeat\Client\package.json                                                                              | JSON               |        -49 |          0 |         -1 |        -50 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\@types\Entity.d.ts                                                                    | TypeScript         |        -28 |         -1 |         -3 |        -32 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\@types\styled.d.ts                                                                    | TypeScript         |        -29 |          0 |         -1 |        -30 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\App.tsx                                                                               | TypeScript JSX     |        -26 |          0 |         -2 |        -28 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\assets\heroImage.svg                                                                  | XML                |       -398 |          0 |         -1 |       -399 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\Category\styles.ts                                                         | TypeScript         |        -18 |          0 |         -4 |        -22 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\Footer\index.tsx                                                           | TypeScript JSX     |        -39 |          0 |         -1 |        -40 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\Footer\styles.ts                                                           | TypeScript         |        -79 |          0 |         -7 |        -86 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\FormButton\index.tsx                                                       | TypeScript JSX     |        -14 |          0 |         -4 |        -18 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\FormButton\styles.ts                                                       | TypeScript         |         -9 |          0 |         -3 |        -12 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\MaskInput\styled.ts                                                        | TypeScript         |        -17 |          0 |         -3 |        -20 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\button\index.tsx                                                           | TypeScript JSX     |         -9 |          0 |         -4 |        -13 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\button\styles.ts                                                           | TypeScript         |        -14 |          0 |         -3 |        -17 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\errorMessage\styles.ts                                                     | TypeScript         |         -8 |          0 |         -3 |        -11 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\input\styles.ts                                                            | TypeScript         |        -16 |          0 |         -3 |        -19 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\nav\index.tsx                                                              | TypeScript JSX     |        -73 |          0 |         -7 |        -80 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\components\nav\styles.ts                                                              | TypeScript         |       -111 |          0 |         -9 |       -120 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\context\appContextProvider.tsx                                                        | TypeScript JSX     |        -16 |          0 |         -3 |        -19 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\context\authContext.tsx                                                               | TypeScript JSX     |        -30 |          0 |         -6 |        -36 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\context\storeContext.tsx                                                              | TypeScript JSX     |       -137 |         -1 |         -8 |       -146 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\context\userContext.tsx                                                               | TypeScript JSX     |       -132 |          0 |         -9 |       -141 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\firebase.ts                                                                           | TypeScript         |        -13 |         -1 |         -3 |        -17 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\global-style.ts                                                                       | TypeScript         |        -38 |          0 |         -8 |        -46 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\helper\URL.ts                                                                         | TypeScript         |         -1 |          0 |         -1 |         -2 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\lib\storeForms.ts                                                                     | TypeScript         |       -106 |         -2 |         -2 |       -110 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\lib\userForms.ts                                                                      | TypeScript         |        -27 |          0 |         -4 |        -31 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\main.tsx                                                                              | TypeScript JSX     |         -9 |          0 |         -2 |        -11 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\Favorites\index.tsx                                                             | TypeScript JSX     |       -102 |        -12 |         -5 |       -119 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\Favorites\styles.ts                                                             | TypeScript         |       -120 |          0 |        -18 |       -138 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\error\index.tsx                                                                 | TypeScript JSX     |        -18 |          0 |         -3 |        -21 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\error\styles.ts                                                                 | TypeScript         |        -33 |          0 |         -6 |        -39 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\home\index.tsx                                                                  | TypeScript JSX     |       -241 |         -7 |        -14 |       -262 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\home\styles.ts                                                                  | TypeScript         |       -275 |         -5 |        -21 |       -301 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\infra\userProtected.tsx                                                         | TypeScript JSX     |        -16 |          0 |         -5 |        -21 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\Establishment\index.tsx                                                   | TypeScript JSX     |       -100 |         -3 |         -2 |       -105 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\Establishment\styles.ts                                                   | TypeScript         |       -194 |          0 |        -33 |       -227 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\login\index.tsx                                                           | TypeScript JSX     |        -87 |          0 |         -2 |        -89 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\login\styles.ts                                                           | TypeScript         |       -127 |          0 |        -15 |       -142 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\page\index.tsx                                                            | TypeScript JSX     |       -169 |          0 |        -11 |       -180 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\page\styles.ts                                                            | TypeScript         |       -318 |         -8 |        -10 |       -336 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\index.tsx                                                        | TypeScript JSX     |       -311 |          0 |         -1 |       -312 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\styles.ts                                                        | TypeScript         |       -232 |          0 |        -15 |       -247 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\useRegister.ts                                                   | TypeScript         |       -225 |         -1 |         -5 |       -231 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\login\index.tsx                                                            | TypeScript JSX     |        -74 |          0 |         -4 |        -78 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\login\styles.ts                                                            | TypeScript         |        -96 |          0 |        -14 |       -110 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\register\index.tsx                                                         | TypeScript JSX     |       -101 |          0 |         -3 |       -104 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\register\styles.ts                                                         | TypeScript         |        -94 |          0 |        -20 |       -114 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\settings\index.tsx                                                         | TypeScript JSX     |       -106 |          0 |         -4 |       -110 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\settings\styles.ts                                                         | TypeScript         |        -47 |         -2 |         -7 |        -56 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\router.tsx                                                                            | TypeScript JSX     |        -60 |          0 |         -3 |        -63 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\styles\mixins.ts                                                                      | TypeScript         |         -6 |          0 |         -2 |         -8 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\styles\theme.ts                                                                       | TypeScript         |        -26 |          0 |         -2 |        -28 |
| c:\Users\pottassiu\Documents\Weeat\Client\src\vite-env.d.ts                                                                         | TypeScript         |          0 |         -1 |         -1 |         -2 |
| c:\Users\pottassiu\Documents\Weeat\Client\tsconfig.json                                                                             | JSON with Comments |        -21 |         -2 |         -3 |        -26 |
| c:\Users\pottassiu\Documents\Weeat\Client\tsconfig.node.json                                                                        | JSON               |        -11 |          0 |         -1 |        -12 |
| c:\Users\pottassiu\Documents\Weeat\Client\vite.config.ts                                                                            | TypeScript         |         -5 |         -1 |         -2 |         -8 |
| c:\Users\pottassiu\Documents\Weeat\Server\.env                                                                                      | Properties         |          3 |          0 |          0 |          3 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\@types\user.d.cjs                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\favoriteController.cjs                                                   | JavaScript         |        138 |          3 |          4 |        145 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\planController.cjs                                                       | JavaScript         |         98 |          3 |          4 |        105 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\productController.cjs                                                    | JavaScript         |        117 |          3 |          4 |        124 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\storeController.cjs                                                      | JavaScript         |     28,040 |      1,724 |        249 |     30,013 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\userController.cjs                                                       | JavaScript         |     27,966 |      1,724 |        249 |     29,939 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\index-K4K5CPUZ.html                                                                  | HTML               |         26 |          0 |          1 |         27 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\middlewares\auth.cjs                                                                 | JavaScript         |     27,897 |      1,724 |        248 |     29,869 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\favoriteRoutes.cjs                                                            | JavaScript         |     28,009 |      1,726 |        251 |     29,986 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\planRoutes.cjs                                                                | JavaScript         |     27,950 |      1,726 |        251 |     29,927 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\productRoutes.cjs                                                             | JavaScript         |     27,981 |      1,726 |        251 |     29,958 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\storesRoutes.cjs                                                              | JavaScript         |     28,075 |      1,726 |        251 |     30,052 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\usersRoutes.cjs                                                               | JavaScript         |     27,998 |      1,726 |        251 |     29,975 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\server.cjs                                                                           | JavaScript         |     28,517 |      1,744 |        269 |     30,530 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\services\authService.cjs                                                             | JavaScript         |     38,684 |      1,726 |        246 |     40,656 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\services\favoriteService.cjs                                                         | JavaScript         |         75 |          1 |          2 |         78 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\services\planService.cjs                                                             | JavaScript         |         58 |          1 |          2 |         61 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\services\productService.cjs                                                          | JavaScript         |         62 |          1 |          2 |         65 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\services\storeService.cjs                                                            | JavaScript         |     26,071 |      1,692 |        217 |     27,980 |
| c:\Users\pottassiu\Documents\Weeat\Server\dist\services\userService.cjs                                                             | JavaScript         |     26,031 |      1,692 |        217 |     27,940 |
| c:\Users\pottassiu\Documents\Weeat\Server\package-lock.json                                                                         | JSON               |      6,527 |          0 |          1 |      6,528 |
| c:\Users\pottassiu\Documents\Weeat\Server\package.json                                                                              | JSON               |         42 |          0 |          1 |         43 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240525194724_init\migration.sql                                       | SQL                |         50 |          5 |         10 |         65 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530021539_aws_migration\migration.sql                              | SQL                |         44 |         44 |         24 |        112 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530024253_taxpayer_capital_letter\migration.sql                    | SQL                |          4 |         11 |          2 |         17 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530024831_email_constraint\migration.sql                           | SQL                |          2 |          8 |          2 |         12 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530232521_store_address_update\migration.sql                       | SQL                |         11 |         18 |          7 |         36 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240602212923_some_many_to_many_relations_here_and_there\migration.sql | SQL                |         47 |         24 |         18 |         89 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240602213601_some_many_to_many_relations_here_and_there\migration.sql | SQL                |          1 |          7 |          1 |          9 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240620172126_some_updates_in_store\migration.sql                      | SQL                |          9 |         16 |          4 |         29 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240621175230_update_in_store_model_sotore_number_field\migration.sql  | SQL                |          1 |          1 |          1 |          3 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240622031455_update_logo_and_banner_are_required\migration.sql        | SQL                |          2 |          8 |          1 |         11 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240622223617_now_using_teteu_database\migration.sql                   | SQL                |          6 |         12 |          2 |         20 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240622232159_now_using_teteu_database_v2\migration.sql                | SQL                |          2 |          8 |          1 |         11 |
| c:\Users\pottassiu\Documents\Weeat\Server\prisma\schema.prisma                                                                      | Prisma             |        122 |          0 |         20 |        142 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\@types\user.d.ts                                                                      | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\favoriteController.ts                                                     | TypeScript         |         70 |          0 |          5 |         75 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\planController.ts                                                         | TypeScript         |         45 |          0 |          6 |         51 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\productController.ts                                                      | TypeScript         |         58 |          0 |          7 |         65 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\storeController.ts                                                        | TypeScript         |        191 |          0 |          9 |        200 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\controllers\userController.ts                                                         | TypeScript         |         84 |          0 |          6 |         90 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\middlewares\auth.ts                                                                   | TypeScript         |         44 |          0 |          4 |         48 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\routes\favoriteRoutes.ts                                                              | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\routes\planRoutes.ts                                                                  | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\routes\productRoutes.ts                                                               | TypeScript         |         11 |          0 |          4 |         15 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\routes\storesRoutes.ts                                                                | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\routes\usersRoutes.ts                                                                 | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\server.ts                                                                             | TypeScript         |         22 |          0 |          6 |         28 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\services\authService.ts                                                               | TypeScript         |         42 |          0 |          5 |         47 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\services\favoriteService.ts                                                           | TypeScript         |         59 |          0 |          9 |         68 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\services\planService.ts                                                               | TypeScript         |         41 |          0 |          7 |         48 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\services\productService.ts                                                            | TypeScript         |         50 |          0 |          9 |         59 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\services\storeService.ts                                                              | TypeScript         |        140 |          0 |         17 |        157 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\services\tokenService.ts                                                              | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\services\userService.ts                                                               | TypeScript         |        103 |          3 |         12 |        118 |
| c:\Users\pottassiu\Documents\Weeat\Server\src\tsup.config.ts                                                                        | TypeScript         |         30 |          0 |          2 |         32 |
| c:\Users\pottassiu\Documents\Weeat\Server\tsconfig.json                                                                             | JSON with Comments |         19 |         86 |          9 |        114 |
| Total                                                                                                                               |                    |    341,417 |     20,872 |      2,851 |    365,140 |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
